No,Label,Username,Tweet
31,negative remark,wahyuwidian,Jangan pake @IndiHome gaes. Pelayanan non aktifnya susah. Masa iya bulan maret tagihannya keluar juga padahal gw udah info buat di non aktifin bulan februari. Malah katanya ada potongan bayar pertempo tapi jatuhnya tetep bayar full. Jangan sampe ini ga di proses sebelum april.
32,direct compliment,kupukuputerban6,@IndiHomeCare Wfh makin nyaman pake IndiHome🔥
33,inquiry,wibujawa,Cara ganti password wifi indihome gimana? Ternyata wifi gua dipake bocil kontol
34,inquiry,goodnessinside8,"@IndiHomeCare Jawaban seperti ini sudah kami terima dari ratusan hari yang lalu! BASI!! Total sudah 136 hari dan hasilnya NOL BESAR! Tanyakan ke tim ""terkait"" Hari, Tanggal dan Jam berapa Layanan Indihome bisa kami pergunakan kembali dengan normal ? @TelkomIndonesia @IndiHomeCare"
35,direct complaint,wahyuwidian,"Kecewa bgt sama pelayanan @IndiHome @IndiHomeCare gw udah tlp sebelum bulan maret dinon aktifkan. Ga di proses"" sampe bulan maret harus bayar juga. Bener"" kelewatan bgt indihome. Kalo nyari uang rakyat jangan begini lah."
36,direct compliment,rowi28,Beda yah dengan @IndiHome yg fast respon. Di @MyRepublicID sdh laporan selama 4 hari tapi engga ada progres
37,remark,swrnsr,"@tynoldualapan @tyoneno @_gagap023 @jowoshitpost @sindutosca Haha, koyo sing indihome kono dewe."
38,direct complaint,hyoongsik,"indihome ni kalo ujan ampun deh lemotnya ga kira-kira. ga ujan aja lemot, gimana ujan"
39,direct compliment,haneuldaily_,Cmn di indihome bisa nonton bola
40,none,starrysno,@jimongie apakah pengguna indihome juga?🤔🤔🤔🤔
41,negative remark,lednand60,indihome kenape si
42,campaign,mrs_plants,Makasi ya min jadi makin tau 😊 #AktivitasTanpaBatas #IndiHomeMbois #InternetnyaIndonesia #indihome
43,campaign,mrs_plants,Hari ini mau nonton  the kings man lah ya Indihome stay on biar makin lancar😁 #AktivitasTanpaBatas #IndiHomeMbois  #indihome #InternetnyaIndonesia
44,campaign,lina_awaliyah,Cari lagu lagu semua IndiHome solusinya Pastinya Lancar jaya #AktivitasTanpaBatas  #InternetnyaIndonesia  https://t.co/eHxJre4g3n
45,direct compliment,marmiati161,"Online foodnya sdh nyampe nih, saatnya belajar sambil ngemil ditemani IndiHome dong wow mantull banget👍  https://t.co/SEyoBon1WW"
46,campaign,novimiranti1,"Meskipun diluar lagi hujan deres,tapi jaringan internet IndiHome tetep stabil...mantuullll guys👍😉  #AktivitasTanpaBatas  #InternetnyaIndonesia  https://t.co/Xrub4uLXx5"
47,campaign,jelasawan,Nonton rons gone wrong nya pke indihome makin seru  #AktivitasTanpaBatas #IndiHomeMbois #IndiHome #InternetnyaIndonesia
48,inquiry,frezonrtwitch,@IndiHomeCare @IndiHome  ini bisa diurus gak sih? kok saya langganan 200mbps kena bandingan upload sama downloadnya kok gini? udah 2 bulan kaya gini loh  https://t.co/uXAMZo9RgQ
49,negative remark,gaktawpusink,indihome koplakkk
50,campaign,jelasawan,Penasaran sama kisahnya 7 maret stay on with indihome  #AktivitasTanpaBatas #IndiHomeMbois #IndiHome #InternetnyaIndonesia
51,none,nyamibites,@parpardangguran @IndiHome 😤
52,negative remark,ekateha,indihome dirumah gangguan mulu perasaan...
53,campaign,lina_awaliyah,semakin kesini Indihome semakin dihati  #Aktivitastanpabatas #InternetnyaIndonesia  https://t.co/oUQuLMxtRF
54,campaign,pringadi_as,Apa lagu EXO favoritmu? @weareoneEXO @kompasiana @IndiHome   https://t.co/zSCNh92g6a  #AktivitasTanpaBatas #IndiHome #EXO
55,direct complaint,eclipseuuuuu,@IndiHome plis ini knp lama bgt loadingnya dari kemarinnn gabisa safari :(
56,negative remark,hyomra,indihome asuuwwwwwwwww
57,none,rhm4mel,@MartabakKingJbr @IndiHome Wkwk moso ga jangkau sih nyampe daerahmu mas. Kan jabodetabek
58,none,oddfelon,@guuk HOOOO KAMU PAKE INDIHOME YAA
59,direct complaint,rubyriderk,ini indihome gua kenapa lemot banget
60,none,cirncho,@tokrevfess Asli.. ini gue dah nungguin lama kirain indihome lemot
61,direct complaint,lasa666na,@IndiHome kmn say sinyalny
62,direct compliment,melisanoviyan90,"Siaran ter favorite sejak berlangganan useetv indihome dirumah, cocok banget buat hiburan anak2 biar menjadi lebih betah dirumah👍  https://t.co/Nur3GdjQ4s"
63,direct complaint,mrblurryface,@IndiHomeCare @IndiHome Mana. Masi lemot
64,direct compliment,uwistory21,"Asyik banget diwaktu kosong gini sambil ngelive dan nonton x-factor, dan tentunya pake koneksi dari indihome yang lancar dan stabil hihi🥰  https://t.co/Bn9BC5qvTX"
65,own tweet,indihomecare,"@rafaanakorqng_ Hai, Kak Rafa. Untuk interaksi terkait pengaduan layanan IndiHome TV-nya di DM sudah rekan Elkiw respons, silakan cek kembali ya Kak. Terima kasih. -Elkiw  https://t.co/5pSN6jEjhp"
66,remark,vitaarahma23,siap siap pergi tadi pagi buat explore kendal bersama IndiHome  https://t.co/oUSK1YZ8bs
67,own tweet,indihomecare,"@SoliMia_debe Kak Mia, guna kami bantu tindak lanjuti selanjutnya, berkenan kirimkan Atas Nama, Alamat Pelanggan, Jumlah tagihan terakhir (lunas), Relasi dengan pemilik IndiHome dan nomor HP alternatif kirimkan...  https://t.co/xmCkzzYEtR"
68,direct compliment,sansrisaff,@callmewandah Mi indihome enak keknya yaa
69,none,wdrtm_,@bherlindayl @IndiHome  https://t.co/C07nnk5jkk
70,campaign,rezpic,"Udah ketemu Selasa lagi, WFH atau WFO jangan lupa tetap sarapan biar semangat jalanin #AktivitasTanpaBatas, yang pasti pake IndiHome #InternetnyaIndonesia juga biar kerjaan jadi lancar  https://t.co/CCUQW2fcYV"
71,campaign,rezpic,Rutinitas Selasa pagi sebelum kerja : Olahraga sambil streaming youtube pake jaringan #InternetnyaIndonesia IndiHome buat #AktivitasTanpaBatas  https://t.co/F5YZ5d6vx7
72,none,pwettyarsi,"@yeobuun @lymonyaa @gapyearfess coba km pake wifi nder yg ky indihome atau apa, coba numpang punya temenmu atau minta tolong temenmu"
73,remark,asoyto,"Selamat malam generasi milenial pecinta indihome sejak dini,baru juga mau tidur sudah pen nonton film favorit pakai internet indihome dirumah  https://t.co/OFsGk6at1l"
74,campaign,rezpic,Selamat hari Perempuan International untuk perempuan hebat! Terus produktif dan berkarya tentunya dengan IndiHome buat #AktivitasTanpaBatas jadi lancar. #InternetnyaIndonesia  https://t.co/T8oT3n6hCh
75,campaign,rezpic,Selamat hari selasa! Apapun kegiatannya semoga dilancarkan. Apalagi ditambah jaringan dari IndiHome buat #AktivitasTanpaBatas hari ini. #InternetnyaIndonesia  https://t.co/nvANXOli4B
76,inquiry,ndryhen,"@IndiHome Permisi indihome saya bermasalah, indikator pon kelapkelip merah kenapa yanomer pelanggan"
77,inquiry,jmxxen1013,"@IndiHome Selamat malam min, saya Etty Nur Wahyuningsih dengan ID pelanggan 122402210129 . Mohon izin bertanya, mengapa akhir-akhir internet sering lemot ya, kadang juga sering error no internet access padahal sebelum²nya tidak apa². Mohon dicross check dan di follow up , trims"
78,own tweet,indihomecare,"@marshalprima_ Hai, Kak Prima. Guna dibantu lebih lanjut silakan informasikan nomor internet, atas nama, alamat, jumlah tagihan terakhir (lunas) dan relasi dengan pemilik IndiHome via DM agar privasi data terjaga...  https://t.co/5A3e8Z1L0T"
79,direct compliment,dapoerumami,"Ternyata ga nyesel sudah berlangganan dengan Indihome, selain karena sinyalnya yang dominan stabil, selain itu servis dan pelayanan nya oke banget. Admin nya ramah, gercep, dan terus di tindak lanjuti permasalahannya. Terimakasih @IndiHomeCare @IndihomeJTD selalu dihati ❤"
80,negative remark,byigadir,indihome meki
81,negative remark,hoelmkhc,INDIHOME KONTOL
82,direct complaint,purprainnn,@IndiHome !!! sinyalmu kayak goyangan Anissa Bahar
83,negative remark,arsccip,indiHome knp si
84,indirect complaint,sisapiru,@utbkfess Ni gokre kenapa error kalo pakek Indihome ya klo pake data gak
85,inquiry,ilayyinan,@IndiHomeCare mau berhenti langganan IndiHome gmn ya?
86,direct compliment,latifah12432489,Istirahat dengan hiburan yang pas yaitu dengerin podcast di youtube pake internet IndiHome. Hahaha seru banget sih podcastnya !!  https://t.co/NxuMOlJgss
87,direct compliment,dapoerumami,"Seneng bgt bisa berlangganan WiFi Indihome di rumah saya. Karena semenjak pandemi kegiatan kuliah saya dialihkan menjadi daring. Daripada boros kuota karena tiap hari ada zoom/gmeet selama berjam jam, akhirnya memutuskan buat pasang WiFi aja biar irit. @IndihomeJTD @IndiHomeCare"
88,remark,sitijumiah1,Ayang Ayang Indihome juga  https://t.co/DQmIPXYqCc
89,inquiry,damory13,Indihome saya mengalami gangguan dari jam 3.00 WIB @IndiHomeCare
90,direct compliment,sitijumiah1,Seneng lihat mereka Biar lancar Internetnya Indihome  https://t.co/LXFZwIZmh5
91,direct compliment,sitijumiah1,Nikmat Menggoda Indihome juga nikmat  https://t.co/CliSbkSelY
92,inquiry,p_radana,"@IndiHomeCare gimana ya indihome tiap malam lag sangat, dah ganti modem 5g masih sama, lag gak terobati, saran dari teknisi upgrade ke paket gamer, wong paket 20 mbps aja sering buffer, haruskah upgrade paket corporate?"
93,direct compliment,sitijumiah1,Yok nonton pakai internet Indihome  https://t.co/FJk0PuiDBt
94,direct compliment,sitijumiah1,Sabbar sabbar Internetan aja dulu pakai Indihome wkwk  https://t.co/5KApvYgTog
95,campaign,rickytau555,"Punya IndiHome yg selalu setia nemenin. Bikin aku mikir tiap hari, enaknya maraton drakor apa yg seru, nonton film apa yg bikin penasaran. Ada saran ngga guys streaming apa yah hari ini?🤔 #InternetnyaIndonesia  #AktivitasTanpaBatas  https://t.co/6lIKqPyiDZ"
96,negative remark,marklibaobei,"@narratedbybel gimana? soalnya ini wifi kost, udh bilang pak kostnya juga katanya ini indihome emang begitu😭😭"
97,none,hedofn,@IndiHome @IndiHomeCare
98,negative remark,emhengrys,@fxtriaaaa Pasti pake indihome kan? Makanya ngelag😌
99,own tweet,indihomecare,"@Jhonodoang Halo, Kak Jhon. Ada yang bisa dibantu terkait layanan IndiHome nya? Terima kasih -Chika"
100,none,f0rever_young01,@MashumHasan @IndiHomeCare @erickthohir dapet solusi gk bro dari indihome nya?
101,negative remark,fxtriaaaa,@emhengrys Indihome ga gdboy emg
102,negative remark,astranarlert,@GeminiDaimon Ya  Kita kutuk Indihome siyalan ini
103,remark,martabakkingjbr,@rhm4mel @IndiHome kyok sing kabel e iso metu seko tanah
104,own tweet,indihomecare,"@mrblurryface @IndiHome Malam, Kak Rea. Maaf ya atas ketidaknyamanannya. Jika saat ini layanan belum bisa digunakan dengan maksimal, berkenan dibantu refresh dari sistem? Hal ini akan menyebabkan koneksi IndiHome-nya mati sejenak. Ditunggu ya konfirmasinya. Terima kasih. -Taofik"
105,remark,kawanindihome,"Nikmati serunya berbagai program acara musik asik hanya di @ikonserchannel. Tonton juga tayangan after movie cancert, artist talk, dan juga konten seru lainnya! Yuk aktifkan sekarang juga🥰  #IndiHome #KawanIndiHome  https://t.co/oJzMGPFFtW"
106,inquiry,marshalprima_,"@IndiHomeCare hallo, saya sudah melakukan pemutusan di tanggal 2 feb, dan modemnya udah diambil tapi setelah itu kenapa ya dari indihome masih melakukan penagihan padahal modemnya udah diambil dan kita tidak pake internetya lagi. Kita kan jadi risih jugaaa di tlp2 trusss"
107,inquiry,miramonica,@IndiHome lg error kah? Dari pagi ga bisa sama sekali 😩 @IndiHomeCare
108,inquiry,astrisetio,@IndiHome min kalo mau berhenti langganan gimana caranya?
109,none,kungseuigi,@ningznin @hello Pantes.. soalnya aku bukan anak indihome
110,own tweet,indihomecare,"@Edibrokol3 Halo, Kak Edi. Cece informasikan estimasi pasang baru layanan IndiHome adalah 3 x 24 jam terhitung setelah adanya kepastian jaringan dilokasi pelanggan tersedia. Terima kasih. -Cece"
111,inquiry,just_ipal,"Malam indihome tolong cek jaringan saya tidak bisa connect untuk wifinya, sudah saya dm. Kemarin seminggu wifinya tidak bisa sekarang seharian @IndiHome @IndiHomeCare"
112,none,asahlagi,@nyamibites @IndiHome Matiin dulu 5 menit teh
113,none,nyamibites,@Asahlagi @IndiHome Kayak gini wae a  https://t.co/oX4lsoqCmo
114,none,asahlagi,@nyamibites @IndiHome Liat modem nya teh
115,own tweet,indihomecare,"@enje_enjie Sama-sama, Kak Jaya. Senang dapat membantu. Pastikan selalu IndiHome yang menemani aktifitas Kakak ya. Stay Safe dan Stay Healthy. -Jayen"
116,inquiry,goodnessinside8,"@IndiHomeCare Luar biasa sekali tim Telkom, 136 hari masih kurang lama buat menangani penyambungan kabel dari tiang telkom ke tempat kami. @IndiHomeCare @TelkomIndonesia  Hari, Tanggal dan Jam berapa Layanan Indihome bisa kami pergunakan kembali dengan normal ?"
117,own tweet,indihomecare,"@CahUtan Halo, Kak.  Guna dibantu pengecekan lebih lanjut, silakan bisa diinformasikan verifikasi data dibawah ini melalui DM. - Nomor Internet : - Atas Nama Pemilik IndiHome : - Alamat Lengkap...  https://t.co/Z4vCOBr9DW"
118,campaign,mesyateresya,jadi ke inget kalo lagi sedih selalu sama ayangg tapi kali ini sedih nya ditemenin streaming film anti lemot dari indihome lancaarrr Jaya 😜 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/iyhV8p5cMQ
119,inquiry,ilayyinan,@IndiHome min mau berhenti langganan IndiHome
120,own tweet,indihomecare,"@Marsya57417554 Hai, Kak Marsya. Cece bantu luruskan apakah yang Kakak maksud biaya pasang baru IndiHome? Cece informasikan biaya pasang baru IndiHome adalah lima ratus ribu rupiah (belum termasuk PPN 10%) dan...  https://t.co/tdMB4uledY"
121,direct complaint,nyamibites,"Ini @IndiHome gimana sih? Baru jg teknisi benerin karena gaada koneksi, masa satu jam kemudian udah gaada koneksi lagi😡 kecewa bgt jujur"
122,direct complaint,theotherlia,"Hmm indihome kenapa kau kumat, besok aku war ticket plis get well soon 🥺"
123,direct complaint,dahils_,"Halo, @IndiHome. Ini kenapa ya internet di tempat saya dari tadi siang sampe sekarang gak bisa dipake? Bisa tolong dibantu? Terima kasih."
124,inquiry,marshalprima_,"@IndiHome saya sudah stop berlangganan di tgl 2 february dan modemnya udah diambil teknisi , tapi kok dari indihomenya masih tetep nagihin tagihan bayar yaa? Ini gimana ya kitakan jadi risih jg ditagih-tagih padahal sudah melakukan pemutusan"
125,campaign,sani15286236,"IndiHome tau apa yang kamu inginkan, banyak program menarik yang bisa kalian nikmati. #internetnyaindonesia #AktivitasTanpaBatas  https://t.co/AM1ClhfyTA"
126,none,merevely,"Temenan sama gw dong, tar gw add kalo indihome dah bener  https://t.co/rQSSUtNLQg"
127,inquiry,chillgurlxy,"Ijin nongol, adakah diantara kalian yg mengetahui cara mengubah pass wifi indihome?"
128,direct compliment,emhengrys,"Indihome ni apa yaa, padahal cuma gerimis doang masih aja Internet tidak ada.. Gua masak lu lama²"
129,campaign,indrawardhana8,"Udah ketemu Selasa lagi, WFH atau WFO jangan lupa tetap sarapan biar semangat jalanin #AktivitasTanpaBatas, yang pasti pake IndiHome #InternetnyaIndonesia juga biar kerjaan jadi lancar  https://t.co/n7VGfFO4Vg"
130,campaign,sani15286236,"dengan aplikasi my IndiHome sekarang lebih mudah, IndiHome menawarkan segala kemudahan #internetnyaindonesia #aktivitastanpabatas  https://t.co/ACFwhVjFQp"
131,campaign,indrawardhana8,Rutinitas Selasa pagi sebelum kerja : Olahraga sambil streaming youtube pake jaringan #InternetnyaIndonesia IndiHome buat #AktivitasTanpaBatas  https://t.co/eDaHS9Hmug
132,campaign,indrawardhana8,Selamat hari Perempuan International untuk perempuan hebat! Terus produktif dan berkarya tentunya dengan IndiHome buat #AktivitasTanpaBatas jadi lancar. #InternetnyaIndonesia  https://t.co/PNb1uModzN
133,campaign,indrawardhana8,Selamat hari selasa! Apapun kegiatannya semoga dilancarkan. Apalagi ditambah jaringan dari IndiHome buat #AktivitasTanpaBatas hari ini. #InternetnyaIndonesia  https://t.co/VHXFGrt5yM
134,direct compliment,hendra_manis82,@telkomkti Asiik kayaknya Indihome memang terbaik
135,inquiry,edibrokol3,"@IndiHomeCare In mau tanya, kalo pasang baru IndiHome itu lama gak ya? Takutnya bisa sampai berbulan2"
136,campaign,sani15286236,terimakasih IndiHome sudah membantu saya menyiapkan minuman untuk suami. heheh #aktivitastanpabatas #internetnyaindonesia  https://t.co/MXtiC5LUDj
137,campaign,mariagregor14,"sore, Kopi, lagu kesukaan kombinasi yang pas ditambah dengan jaringan internet indihome yang anti lelet 🔥😍😚 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/wXQiaPJgnT"
138,campaign,rizkyfranatta1,"Udah ketemu Selasa lagi, WFH atau WFO jangan lupa tetap sarapan biar semangat jalanin #AktivitasTanpaBatas, yang pasti pake IndiHome #InternetnyaIndonesia juga biar kerjaan jadi lancar  https://t.co/Dd75tR8GE0"
139,negative remark,blssomroses,indihome kalo ujan selalu yaa :))
140,direct compliment,pesikindra2,Evolusi AC Milan di lini serang😍😍  Pake Indihome aja dan jelajahi dunia dengan jari Anda😍😍 Internetan sepuasnya tanpa takut kehabisan kuota😍😍😍  https://t.co/MhEFcfTCrD
141,campaign,rizkyfranatta1,Rutinitas Selasa pagi sebelum kerja : Olahraga sambil streaming youtube pake jaringan #InternetnyaIndonesia IndiHome buat #AktivitasTanpaBatas  https://t.co/0ELsLP7FbB
142,campaign,mariagregor14,malem malem enak nge chill sama pasangan sambil nonton film tanpa lelet karena pakai jaringan internet indihome yang super cepat 🔥 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/mcCkC6R0vc
143,campaign,lendyreny,"Sebelum ketemu sama Park #CHANYEOL  Bikin 5 Bucket List Ketika Bertemu KAI EXO dulu.  Bersama internet cepat dan wifi cepat @indihome  Yuk, tonton project series KAI’s Bucket List yang tayang sebanyak 5 eps.   https://t.co/DqoWf7RDGl    #AktivitasTanpaBatas #IndiHome #EXO #EXOL"
144,own tweet,indihomecare,"@ekisays Halo, Kak Roi. Agar kami cek lebih lanjut, sebelumnya silakan informasikan nomor internet, atas nama, alamat pemasangan, jumlah tagihan terakhir (lunas), dan relasi dengan pemilik IndiHome via DM/ klik link  https://t.co/yuUDRsTpwI. Terima kasih. -Joro"
145,campaign,rizkyfranatta1,Selamat hari Perempuan International untuk perempuan hebat! Terus produktif dan berkarya tentunya dengan IndiHome buat #AktivitasTanpaBatas jadi lancar. #InternetnyaIndonesia  https://t.co/eYLkKtvkBs
146,direct compliment,sumiajah4,"@IndiHomeCare  kereen IndiHome, jaringan lancar, maen game tanpa lag. Terbaiqqq dah pokoknya :)"
147,campaign,mariagregor14,sore sore senja gini enak nya denger lagu dari youtube ditambah dengan cepatnya jaringan internet indihome 🤭 🤭 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/q2GSgOREPm
148,campaign,nirmalasariy13,Yg penting eyke da langganan indihome #AktifKreatif #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/I4bicmMaPt
149,campaign,rizkyfranatta1,Selamat hari selasa! Apapun kegiatannya semoga dilancarkan. Apalagi ditambah jaringan dari IndiHome buat #AktivitasTanpaBatas hari ini. #InternetnyaIndonesia  https://t.co/eXujkIfbNj
150,inquiry,marklibaobei,indihome tuhhh kenapa c? masa di hp akuu bisa nyambung tpi di laptop gabisaaa???
151,remark,pralitaep,"pake wifi IndiHome nonton superjojo bareng anak, kali ini yg versi ""siapa teman baru jojo?"" 🥳  https://t.co/s2gqIQ2Fux"
152,campaign,rizkyfranatta1,Lewat aplikasi my IndiHome buat beli add on udah paling mudah! Jadi cukup dari rumah aja sudah bisa nikmatin semua add on yang ada di IndiHome #AktivitasTanpaBatas #InternetnyaIndonesia  https://t.co/dgrDW72VzV
153,remark,qfly_mu,Lagi rame nih si geprek bensu dan saya fokusnya ke makanannya yang emang enak sih jadi rindu pedes sambelnya🥺 apa daya cuma bisa streaming dengan koneksi indihome nntn review makannya dikarenakan sudah kenyang wkwk  https://t.co/VaF164D3OI
154,direct compliment,pralitaep,sore sore hujan rebahan bareng bocil nonton nussa dan rara di youtube pakek wifi IndiHome biar lancar dong😁  https://t.co/I1IiZInP8H
155,campaign,mamanrochmansy2,pulang kerja langsung peluk ibuk bilang i love you ibuk lalu nonton youtube kesukaan kita tanpa buffering dengan jaringan internet indihome 🤭 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/6B4zgXA9Tz
156,negative remark,faovurite,NJIENKS INDIHOME GW TELEK
157,direct complaint,mrblurryface,Speed pantek macam apa ini? ⁦@IndiHome⁩ ⁦@IndiHomeCare⁩  https://t.co/X9krtOUxrn
158,remark,pralitaep,yang suka maroon 5 yuk nanti merapat di usee prime jam 7 malemmm yaa di IndiHome TV 🎼🎼🎼😍  https://t.co/QPvMmY2K5f
159,negative remark,m4rkloved,indihome asyu mau war malah lemot
160,direct compliment,mamanrochmansy2,cinta bapak ke ibuk bagai sungai yang mengalir seperti kecepatan super cepat dari indihome yang ga abis abis 😁😁 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/DkHpzl6pwK
161,inquiry,fla_tia,"@IndiHomeCare saya mau tanya kalau mau cabut indihome gimana ? Karena mau pindah kota , karna ada kerjaan di sana... Kalau bisa secepatnya di cabut Tolong info nya ya"
162,negative remark,satulima99,indihome mulai deh
163,remark,pralitaep,"buat yang suka tontonan laga bisa banget nih langganan minipack indiaction di IndiHome TV, yuk cusss😀  https://t.co/MbmV6R6mNE"
164,direct compliment,pralitaep,ayo tonton studio dangdut di usee prime pastinya di IndiHome TV 🎼🎼🎼yowis ben tak lakoni sak kuat-kuate ati🎼🎼🎼  https://t.co/FGdCRVxWq5
165,own tweet,indihomecare,"@bimo16 Hai, Kak Bimo. Perihal laporannya Jayen sarankan untuk clear cache terlebih dahulu kemudian re-login kembali aplikasi myIndiHome-nya. Pastikan terhubung dengan jaringan IndiHome yang stabil serta...  https://t.co/8gUZ93f0qF"
166,campaign,externity_k,"Udah ketemu Selasa lagi, WFH atau WFO jangan lupa tetap sarapan biar semangat jalanin #AktivitasTanpaBatas, yang pasti pake IndiHome #InternetnyaIndonesia juga biar kerjaan jadi lancar #KIGPKaltara"
167,campaign,margono6672,#indihome #AktivitasTanpaBatas  https://t.co/WnwBNmn4s5
168,negative remark,kemarinsore05,ini indihome nye ape laptop nye?
169,campaign,margono6672,#indihome #AktivitasTanpaBatas  https://t.co/EBawa1iVjP
170,campaign,margono6672,#indihome #AktivitasTanpaBatas  https://t.co/A4QbwIIXla
171,negative remark,habkeinelust_,@bocahkocheng udah muak ama indihome po tur
172,campaign,margono6672,#indihome #AktivitasTanpaBatas  https://t.co/IYjC7IdM9j
173,direct complaint,johnahyuck,demi Allah dah indihome padahal modemnya ijo tp gaada internet mulu masalahnya mati tuh di tengah tengah lagi kelas online sampe gua sms temen terus buat minta kabarin ke dosen kalo wifi gua mati
174,negative remark,rikiarchon,indihome lu jelek
175,campaign,margono6672,#indihome #AktivitasTanpaBatas  https://t.co/jxD0PFuosS
176,negative remark,yehetohorait,Gegaraan indihome aja ah gue kaga bisa ikut live bareng😭   #LiveWithLamanYeolie
177,inquiry,heoooh_,"@IndiHomeCare Halo min, wifi indihome LOS dari tadi siang! Ini gimna?? Urgent nih gw mau make!!  https://t.co/WRXvsHaAUJ"
178,direct complaint,bheomie,indihome jelek banget kalo ujan HELP
179,remark,divonis_cakep,@baksodansate Dia juga anak indihome. Bisa meramal masa depan.  https://t.co/V1o5ZEvsRb
